,name,url,version
0,adler,https://github.com/jonas-schievink/adler.git,1.0.2
1,ahash,https://github.com/tkaitchuck/ahash,0.7.8
2,aho-corasick,https://github.com/BurntSushi/aho-corasick,1.1.3
3,anstream,https://github.com/rust-cli/anstyle.git,0.3.2
4,crc32fast,https://github.com/srijs/rust-crc32fast,1.4.2
5,env_logger,https://github.com/rust-cli/env_logger,0.10.2
6,fallible-iterator,https://github.com/sfackler/rust-fallible-iterator,0.2.0
7,fallible-streaming-iterator,https://github.com/sfackler/fallible-streaming-iterator,0.1.9
8,hashbrown,https://github.com/rust-lang/hashbrown,0.11.2
9,hashlink,https://github.com/kyren/hashlink,0.7.0
10,heck,https://github.com/withoutboats/heck,0.4.1
11,itoa,https://github.com/dtolnay/itoa,1.0.11
12,libsqlite3-sys,https://github.com/rusqlite/rusqlite,0.23.2
13,log,https://github.com/rust-lang/log,0.4.22
14,memchr,https://github.com/BurntSushi/memchr,2.7.4
15,miniz_oxide,https://github.com/Frommi/miniz_oxide,0.7.4
16,once_cell,https://github.com/matklad/once_cell,1.19.0
17,ppv-lite86,https://github.com/cryptocorrosion/cryptocorrosion,0.2.17
18,proc-macro2,https://github.com/dtolnay/proc-macro2,1.0.86
19,quote,https://github.com/dtolnay/quote,1.0.36
20,rand,https://github.com/rust-random/rand,0.8.5
21,rand_chacha,https://github.com/rust-random/rand,0.3.1
22,rand_core,https://github.com/rust-random/rand,0.6.4
23,regex-automata,https://github.com/rust-lang/regex,0.4.7
24,regex-syntax,https://github.com/rust-lang/regex,0.8.4
25,regex,https://github.com/rust-lang/regex,1.10.5
26,ryu,https://github.com/dtolnay/ryu,1.0.18
27,serde,https://github.com/serde-rs/serde,1.0.204
28,serde_derive,https://github.com/serde-rs/serde,1.0.204
29,serde_json,https://github.com/serde-rs/json,1.0.120
30,smallvec,https://github.com/servo/rust-smallvec,1.13.2
31,strsim,https://github.com/rapidfuzz/strsim-rs,0.10.0
32,syn,https://github.com/dtolnay/syn,2.0.72
33,termcolor,https://github.com/BurntSushi/termcolor,1.4.1
34,unicode-ident,https://github.com/dtolnay/unicode-ident,1.0.12
35,utf8parse,https://github.com/alacritty/vte,0.2.2
36,uuid-macro-internal,https://github.com/uuid-rs/uuid,1.10.0
37,uuid,https://github.com/uuid-rs/uuid,1.10.0
38,num-traits,https://github.com/rust-num/num-traits,0.2.18
39,anstyle-parse,https://github.com/rust-cli/anstyle.git,0.2.4
40,anstyle-query,https://github.com/rust-cli/anstyle.git,1.1.0
41,anstyle,https://github.com/rust-cli/anstyle.git,1.0.7
42,anyhow,https://github.com/dtolnay/anyhow,1.0.86
43,bitflags,https://github.com/bitflags/bitflags,2.6.0
44,cfg-if,https://github.com/alexcrichton/cfg-if,1.0.0
45,clap,https://github.com/clap-rs/clap,4.3.24
46,clap_builder,https://github.com/clap-rs/clap,4.3.24
47,clap_derive,https://github.com/clap-rs/clap,4.3.12
48,clap_lex,https://github.com/clap-rs/clap,0.5.0
49,colorchoice,https://github.com/rust-cli/anstyle.git,1.0.1
50,ctor,https://github.com/mmastrac/rust-ctor,0.2.8
51,errno,https://github.com/lambda-fairy/rust-errno,0.3.9
52,fastrand,https://github.com/smol-rs/fastrand,2.1.1
53,filetime,https://github.com/alexcrichton/filetime,0.2.23
54,flate2,https://github.com/rust-lang/flate2-rs,1.0.30
55,fs4,https://github.com/al8n/fs4-rs,0.8.4
56,getrandom,https://github.com/rust-random/getrandom,0.2.15
57,humantime,https://github.com/tailhook/humantime,2.1.0
58,is-terminal,https://github.com/sunfishcode/is-terminal,0.4.12
59,libc,https://github.com/rust-lang/libc,0.2.155
60,linux-raw-sys,https://github.com/sunfishcode/linux-raw-sys,0.4.14
61,rusqlite,https://github.com/rusqlite/rusqlite,0.26.3
62,rustix,https://github.com/bytecodealliance/rustix,0.38.34
63,tar,https://github.com/alexcrichton/tar-rs,0.4.41
64,xattr,https://github.com/Stebalien/xattr,1.3.1
65,chrono,https://github.com/chronotope/chrono,0.4.37
66,iana-time-zone,https://github.com/strawlab/iana-time-zone,0.1.60
67,criterion,https://github.com/bheisler/criterion.rs,0.3.2
68,heapless,,0.8.0
